The project is about Monthly Production of Petroleum Products by Refineries & Fractionators

Month,Year,Products,"Quantity (000 Metric Tonnes)",updated_date
May,2022,"HSD Others",3221.32,2024-03-19
June,2022,"MS Others",1288.51,2024-03-19
June,2022,SKO,92.68,2024-03-19
June,2022,LDO,45.24,2024-03-19
June,2022,BITUMEN,410.30,2024-03-19
July,2022,FO,833.77,2024-03-19
August,2022,"MS Others",1071.46,2024-03-19
August,2022,BITUMEN,195.25,2024-03-19
September,2022,NAPHTHA,1360.99,2024-03-19
September,2022,HSD-VI,6200.32,2024-03-19
September,2022,"HSD Others",2587.70,2024-03-19
October,2022,"HSD Others",1979.58,2024-03-19
November,2022,LPG,979.95,2024-03-19
November,2022,MS-VI,2246.29,2024-03-19
December,2022,SKO,44.46,2024-03-19
December,2022,HSD-VI,7235.03,2024-03-19
January,2023,"MS Others",1456.01,2024-03-19
January,2023,"HSD Others",2696.60,2024-03-19
January,2023,LSHS,63.25,2024-03-19
February,2023,NAPHTHA,1368.98,2024-03-19
February,2023,SKO,100.17,2024-03-19
February,2023,"HSD Others",2439.95,2024-03-19
February,2023,LUBES,105.79,2024-03-19
March,2023,MS-VI,2419.18,2024-03-19
March,2023,SKO,99.20,2024-03-19
March,2023,HSD-VI,7519.69,2024-03-19
March,2023,LDO,79.14,2024-03-19
March,2023,LSHS,74.24,2024-03-19
March,2023,BITUMEN,621.50,2024-03-19
March,2023,Others,2963.41,2024-03-19
April,2023,NAPHTHA,1376.50,2024-03-19
April,2023,MS-VI,2177.77,2024-03-19
April,2023,HSD-VI,7155.18,2024-03-19
April,2023,FO,982.75,2024-03-19
April,2023,BITUMEN,537.58,2024-03-19
April,2023,Others,2587.04,2024-03-19
May,2023,ATF,1432.21,2024-03-19
May,2023,FO,746.03,2024-03-19
May,2023,BITUMEN,507.71,2024-03-19
June,2023,MS-VI,2321.12,2024-03-19
June,2023,SKO,79.76,2024-03-19
June,2023,LUBES,132.77,2024-03-19
June,2023,BITUMEN,470.84,2024-03-19
June,2023,Others,2693.54,2024-03-19
July,2023,SKO,114.24,2024-03-19
July,2023,"HSD Others",2680.62,2024-03-19
July,2023,LUBES,120.06,2024-03-19
September,2023,NAPHTHA,1378.92,2024-03-19
September,2023,"MS Others",1126.52,2024-03-19
September,2023,"HSD Others",2593.66,2024-03-19
September,2023,LSHS,66.65,2024-03-19
September,2023,RPC/Petcoke,1149.52,2024-03-19
October,2023,LUBES,123.88,2024-03-19
October,2023,LSHS,49.63,2024-03-19
April,2022,"HSD Others",2902.90,2024-03-19
April,2022,FO,751.96,2024-03-19
May,2022,HSD-VI,6898.01,2024-03-19
May,2022,LUBES,104.36,2024-03-19
June,2022,FO,659.32,2024-03-19
June,2022,Others,2413.87,2024-03-19
July,2022,NAPHTHA,1421.19,2024-03-19
July,2022,ATF,1220.98,2024-03-19
July,2022,LDO,83.26,2024-03-19
July,2022,RPC/Petcoke,1311.27,2024-03-19
September,2022,LPG,1043.81,2024-03-19
September,2022,"MS Others",878.40,2024-03-19
September,2022,ATF,1299.80,2024-03-19
September,2022,Others,2163.36,2024-03-19
October,2022,LPG,1154.43,2024-03-19
October,2022,LDO,35.81,2024-03-19
October,2022,RPC/Petcoke,1219.80,2024-03-19
October,2022,Others,2132.14,2024-03-19
November,2022,RPC/Petcoke,1059.97,2024-03-19
December,2022,LPG,1059.84,2024-03-19
December,2022,NAPHTHA,1378.04,2024-03-19
December,2022,"HSD Others",2759.51,2024-03-19
December,2022,LSHS,62.23,2024-03-19
January,2023,LPG,1119.04,2024-03-19
January,2023,MS-VI,2365.84,2024-03-19
January,2023,FO,790.86,2024-03-19
January,2023,BITUMEN,436.75,2024-03-19
January,2023,RPC/Petcoke,1439.45,2024-03-19
January,2023,Others,2957.01,2024-03-19
February,2023,LPG,1005.14,2024-03-19
February,2023,Others,2539.95,2024-03-19
March,2023,ATF,1442.28,2024-03-19
March,2023,FO,573.35,2024-03-19
April,2023,LPG,1112.97,2024-03-19
April,2023,LDO,40.66,2024-03-19
April,2023,LSHS,85.82,2024-03-19
April,2023,RPC/Petcoke,1178.12,2024-03-19
May,2023,MS-VI,2387.98,2024-03-19
May,2023,SKO,98.43,2024-03-19
May,2023,HSD-VI,7433.14,2024-03-19
May,2023,LSHS,64.67,2024-03-19
June,2023,LPG,1085.61,2024-03-19
June,2023,LDO,60.85,2024-03-19
June,2023,LSHS,49.73,2024-03-19
June,2023,RPC/Petcoke,1245.46,2024-03-19
July,2023,MS-VI,2433.38,2024-03-19
July,2023,"MS Others",1359.02,2024-03-19
July,2023,LDO,50.04,2024-03-19
July,2023,RPC/Petcoke,1330.88,2024-03-19
August,2023,LPG,983.80,2024-03-19
August,2023,NAPHTHA,1548.82,2024-03-19
August,2023,"HSD Others",2676.79,2024-03-19
August,2023,LUBES,102.36,2024-03-19
August,2023,BITUMEN,282.43,2024-03-19
September,2023,LPG,878.52,2024-03-19
September,2023,MS-VI,2434.11,2024-03-19
September,2023,ATF,1278.43,2024-03-19
September,2023,SKO,107.51,2024-03-19
September,2023,HSD-VI,6344.44,2024-03-19
September,2023,LDO,74.46,2024-03-19
September,2023,Others,2678.19,2024-03-19
October,2023,NAPHTHA,1442.22,2024-03-19
October,2023,SKO,45.19,2024-03-19
October,2023,FO,649.83,2024-03-19
October,2023,Others,2952.75,2024-03-19
April,2022,LPG,1093.25,2024-03-19
April,2022,NAPHTHA,1571.54,2024-03-19
April,2022,"MS Others",1292.50,2024-03-19
April,2022,SKO,119.58,2024-03-19
April,2022,BITUMEN,547.64,2024-03-19
May,2022,MS-VI,2422.94,2024-03-19
May,2022,ATF,1114.57,2024-03-19
May,2022,LDO,31.23,2024-03-19
May,2022,LSHS,66.94,2024-03-19
June,2022,MS-VI,2394.60,2024-03-19
June,2022,RPC/Petcoke,1266.82,2024-03-19
July,2022,MS-VI,2466.66,2024-03-19
July,2022,"MS Others",1165.39,2024-03-19
July,2022,SKO,76.43,2024-03-19
July,2022,HSD-VI,6589.46,2024-03-19
July,2022,LUBES,79.38,2024-03-19
July,2022,LSHS,33.72,2024-03-19
July,2022,Others,2640.84,2024-03-19
August,2022,MS-VI,2213.92,2024-03-19
August,2022,"HSD Others",2745.65,2024-03-19
September,2022,BITUMEN,267.77,2024-03-19
September,2022,RPC/Petcoke,1237.87,2024-03-19
October,2022,"MS Others",882.04,2024-03-19
October,2022,HSD-VI,7041.12,2024-03-19
October,2022,LUBES,109.93,2024-03-19
October,2022,FO,989.55,2024-03-19
October,2022,BITUMEN,343.86,2024-03-19
